List Number,Agency Phone,Listing Agent,Co-Listing Agent,Property Type,Card Format,Book Section,Property Sub Type,Listing Contract Date,Back on Market Date,Status,Status Change Timestamp,Original List Price,List Price,Living Area Source,MLS Area Major,Lock Box Number,Street Direction Prefix,Street Direction Suffix,Non-Representative Compensation Type,City,State,County,Country,Postal Code,Stories Total,Stories,Latitude,Longitude,GeoID,Living Area,Year Built,Direction Faces,Lot Size Dimensions,Bedrooms Total,Bathrooms Total,Bathrooms Full,Bathrooms Half,Parcel Number,Owner Name,mod_timestamp,Association Fee Frequency,Occupant Type,Listing Agreement,Association Fee 2 Frequency,Listing Service,Lease Term,Association Fee,Building Area Total,Garage Spaces,Association Fee 2,List Price/SqFt,Availability Date,Start Showing Date,Association Name,Association YN,Carport YN,Property Attached YN,Furnished,Lot Size Acres,Contingent Date,Senior Community YN,Waterfront YN,Water Frontage Feet,Accessory Dwelling Unit Y/N,Rental Service,Garage YN,Carport Spaces,Non-Representative Compensation,Entry Level,Accessibility Features YN,Unit Type,Comp Sale YN,Price Change Timestamp,Days on Market,Rooms,Features
gAAAAABm9wKyQ9Jkf67wT775NlUCIiB2uBl4wESoZ5GvSiov2IOCO5IDdjI6obh55XV3nDGM8nYpp0r2uecaRCXtyVQmsDSAeA==,Agency_Phone_Index_656,Listing_Agent_Index_974,,Rental,Residential Lease,Townhouse,TH,3/2/24,,A,2/20/24,1995,1995,Public Records,41,,,,$,Jacksonville,FL,Duval,US,32277,2,2,30.36466628,-81.56285065,1.20E+11,1716,2006,,,3,3,2,1,gAAAAABm9wKyO8HuSgWsbjAV9nsfKQHxwoxVP1fZs7Htx51RDKpzJNV7QkiIPAPvRqnH8GKS3jPZiC_sEbScX9GQ-yrjeHT1-A==,,,,Tenant,Excl Right to Lease,,Full Service,12 Months,,,1,,1.16,2/14/23,,,Y,N,,,,,N,N,,,R,Y,,0,1,N,,N,,137,,"Additional Lease Terms|12 Months|Yes;Deposits and Fees|Security Deposit|1,995;Deposits and Fees|Application Fee|45;Historical Information|Public Historical Remarks 1|Water - Public:  Y, Assoc Appl Fee:  N, Tenant Pays All Utilities:  Y, Roof:  Shingle, Per Period:  1895, LeasePrepFeeTenant:  100;Historical Information|Public Historical Remarks 3|Occupant Type: Vacant, Vacant -Lockbox;Historical Information|Public Historical Remarks 2|Occupancy:  1st of Month, Sewer - Public:  Y, Tile Floors:  Y, Min Lease/Rent Term:  12 months, Soccer Field(s):  Y, Townhouse:  Y, Self Cleaning Oven:  Y;Historical Information|Private Historical Remarks|Region:  04-ARLINGTON/FT CAROLINE, Separate Dining Room;Interior Features|Breakfast Bar|Yes;Interior Features|Primary Bathroom - Tub with Shower|Yes;Levels|Two|Yes;Owner Pays|Association Fees|Yes;Owner Pays|Taxes|Yes;Owner Pays|Insurance|Yes;Patio And Porch Features|Porch|Yes;Pets Allowed|No|Yes;Rent Includes|Trash Collection|Yes;Road Frontage Type|Private Road|Yes;Road Surface Type|Asphalt|Yes;Sewer|Public Sewer|Yes;Tenant Pays|Cable TV|Yes;Tenant Pays|Water|Yes;Tenant Pays|Sewer|Yes;Tenant Pays|Pest Control|Yes;Tenant Pays|Electricity|Yes;Rental Commission Term|Specific $ Amount|200;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|None|Yes;Utilities|Cable Available|Yes;Utilities|Separate Electric Meters|Yes;Utilities|Sewer Connected|Yes;Utilities|Electricity Connected|Yes;Showing Requirements|Showing Contact Phone|904-993-4323;Showing Requirements|Lockbox|Yes;Parking Features|Garage|Yes;Appliances|Disposal|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Ice Maker|Yes;Appliances|Electric Range|Yes;"
gAAAAABm9wKysBww5tTVmO-0CpaE-LagSeR4KNGjc7knBz7-5qWYLfhCKCbsM2nGLkbDxx3ch5x8ks3JADcvDgBPzmdFMfauVw==,Agency_Phone_Index_657,Listing_Agent_Index_975,,Rental,Residential Lease,Quadruplex,QU,6/3/24,,A,5/15/24,985,965,Estimated,21,,,,%,Jacksonville,FL,Duval,US,32207,2,,30.29854297,-81.63493354,1.20E+11,1110,1953,,,2,1,1,0,gAAAAABm9wKybQg4bX7EVsKNskaqkXBm2t_-r9DSbYkJ51sBf4CprKsNTlmP9Bc4Jij5p_DCzZGvDPnz7fGg0ZbElKCj4417Rg==,,9/23/24 1:37,,,Excl Right to Lease,,Full Service,12 Months,,,,,0.87,5/20/24,,,N,N,,,0.39,,N,N,,,N,N,,0,,N,,,9/22/24 1:37,65,,Additional Lease Terms|12 Months|Yes;Deposits and Fees|Security Deposit|985;Deposits and Fees|Application Fee|65;Rental Commission Term|Specific $ Amount|150;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|None|Yes;Utilities|Cable Available|Yes;Showing Requirements|Lockbox|Yes;Parking Features|On Street|Yes;Appliances|Electric Range|Yes;Appliances|Refrigerator|Yes;
gAAAAABm9wKyuy2g6q3NVvgVVN2exdWKr-5NmAsg3RNetAAcejM02UhNtIYdN32I8VsGqTnfxXxK2P90fArKMiJL_HOV_cZTvQ==,Agency_Phone_Index_658,Listing_Agent_Index_976,,Rental,Residential Lease,Single Family Residence,SF,6/21/24,,A,7/27/24,2950,2950,Appraiser,304,,,,$,St Augustine,FL,St. Johns,US,32092,1,,30.02441235,-81.5755911,1.21E+11,2027,2021,,,4,3,3,0,gAAAAABm9wKy7SH_dkMvJUZMnWJL-IJaBC6NofgItIjP8I3vO-TFAQjvdigQG59j-k_GUYwWnUnNRtBdqicYJJYlYCjt6SG2Gw==,,,,,Excl Right to Lease,,Full Service,Other,,,2,,1.46,,,,Y,N,,,0.17,,N,N,,,O,Y,,0,,N,,,,15,,"Additional Lease Terms|Other|Yes;Deposits and Fees|Security Deposit|2,950;Deposits and Fees|Additional Fee|150;Deposits and Fees|Pet Fee/Deposit|300;Deposits and Fees|Application Fee|80;Pets Allowed|Breed Restrictions|Yes;Pets Allowed|Dogs OK|Yes;Pets Allowed|Cats OK|Yes;Special Listing Conditions|Smoking Prohibited|Yes;Rental Commission Term|Specific $ Amount|300;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|None|Yes;Utilities|Cable Available|Yes;Utilities|Electricity Available|Yes;Showing Requirements|Call Listing Agent|Yes;Showing Requirements|Showing Service|Yes;Showing Requirements|Lockbox|Yes;Parking Features|Garage|Yes;Appliances|Convection Oven|Yes;Appliances|Washer|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Dishwasher|Yes;Appliances|Dryer|Yes;"
gAAAAABm9wKybWr-f_0vG4kOlej1Gw_MwtKb3AMZPFNdteOTmFp3qQEwQjYpGw2IrgIt6oz6Gy4eaGI3D9DF31w4LgIMpCc3HA==,Agency_Phone_Index_659,Listing_Agent_Index_977,,Rental,Residential Lease,Single Family Residence,SF,6/8/24,,A,6/15/24,2800,2650,Public Records,32,,,,$,Jacksonville,FL,Duval,US,32205,2,,30.31525921,-81.69303091,1.20E+11,1442,1922,,,3,3,3,0,gAAAAABm9wKy_a5ziKU5yTL05KGbvUQs3z_xDC0ryq_BvRIWkWe-kCh_3MmXYxnDGqHiK1oQmgtyNh0LlzKe1p0BVmGLdwCqhg==,,9/30/24 13:30,,,Excl Right to Lease,,Full Service,12 Months,,,,,1.84,,,,N,N,,F,0.12,,N,N,,,O,N,,0,,N,,,,72,,"Additional Lease Terms|12 Months|Yes;Deposits and Fees|Security Deposit|2,650;Deposits and Fees|Additional Fee|75;Deposits and Fees|Application Fee|50;Fencing|Wood|Yes;Patio And Porch Features|Deck|Yes;Patio And Porch Features|Porch|Yes;Patio And Porch Features|Patio|Yes;Sewer|Public Sewer|Yes;Rental Commission Term|Specific $ Amount|300;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|None|Yes;Utilities|Electricity Connected|Yes;Utilities|Water Connected|Yes;Utilities|Sewer Connected|Yes;Showing Requirements|Combination Lock Box|Yes;Showing Requirements|Showing Service|Yes;Parking Features|Off Street|Yes;Parking Features|On Street|Yes;Appliances|Dryer|Yes;Appliances|Washer|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Ice Maker|Yes;Appliances|Electric Range|Yes;Appliances|Electric Oven|Yes;Appliances|Dishwasher|Yes;Appliances|Disposal|Yes;"
gAAAAABm9wKyUSN6Gk6V_nncQa-FWOF9jyeT36mywJscdR-dbohixi0eZy5AHjRcHCURy-7YP46gHcWVyRC-yOA7ya7BnAhE1A==,Agency_Phone_Index_660,Listing_Agent_Index_978,,Rental,Residential Lease,Condominium,CN,6/6/24,,A,7/2/24,8000,8000,Public Records,261,,,,$,Ponte Vedra Bch,FL,St. Johns,US,32082,2,,30.13759976,-81.42524574,1.21E+11,1614,1986,East,,2,3,2,1,gAAAAABm9wKy7aWKoxnDBsKu1OEC6WATlw2WakSxxv_cWBcJLkvfEcKGVVU6ekFc5YOkkd4Lh3fzSevOUOn28BqMeRh5SV2xzQ==,,9/16/24 7:07,,,Excl Right to Lease,,Full Service,3 Months,,,1,,4.96,6/23/24,,,Y,N,Y,F,0,,N,Y,,,O,Y,,0,,N,,,,57,,"Additional Fee Includes|Lease Prep|Yes;Additional Lease Terms|3 Months|Yes;Architectural Style|Traditional|Yes;Architectural Style|Other|Yes;Association Amenities|Beach Access|Yes;Association Amenities|Tennis Court(s)|Yes;Association Amenities|Gated|Yes;Association Amenities|Fitness Center|Yes;Association Amenities|Clubhouse|Yes;Deposits and Fees|Security Deposit|8,000;Deposits and Fees|Additional Fee|100;Deposits and Fees|Pet Fee/Deposit|500;Deposits and Fees|Application Fee|35;Exterior Features|Balcony|Yes;Exterior Features|Storm Shutters|Yes;Fireplace Features|Fireplaces Total|1;Interior Features|Ceiling Fan(s)|Yes;Interior Features|Open Floorplan|Yes;Laundry Features|In Unit|Yes;Owner Pays|Association Fees|Yes;Pets Allowed|Breed Restrictions|Yes;Pets Allowed|Size Limit|Yes;Pets Allowed|Dogs OK|Yes;Rent Includes|Electricity|Yes;Rent Includes|Water|Yes;Rent Includes|Trash Collection|Yes;Rent Includes|Sewer|Yes;Rent Includes|Internet|Yes;Road Surface Type|Asphalt|Yes;Security Features|Security Gate|Yes;Sewer|Public Sewer|Yes;Spa Features|Community|Yes;Spa Features|In Ground|Yes;Special Listing Conditions|Smoking Prohibited|Yes;Tenant Pays|Cable TV|Yes;View|Beach|Yes;Waterfront Features|Ocean Access|Yes;Waterfront Features|Ocean Front|Yes;Rental Commission Term|Specific $ Amount|300;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|Community|Yes;Utilities|Cable Connected|Yes;Utilities|Water Connected|Yes;Utilities|Sewer Connected|Yes;Utilities|Electricity Connected|Yes;Showing Requirements|Gated|Private;Showing Requirements|No Sign|Yes;Showing Requirements|Showing Contact Phone|904-616-1234;Parking Features|Garage|Yes;Parking Features|Unassigned|Yes;Appliances|Dryer|Yes;Appliances|Washer|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Electric Water Heater|Yes;Appliances|Electric Cooktop|Yes;Appliances|Dishwasher|Yes;Appliances|Disposal|Yes;"
gAAAAABm9wKyMHV6zbx9tbJSGxabPBWUrqjbvl50K1zLi91Zp-vY48nmqQFgR8HklgBqbIS-6mRQIfqfliELHgiRqXBt200wOg==,Agency_Phone_Index_661,Listing_Agent_Index_979,,Rental,Residential Lease,Condominium,CN,6/21/24,,A,7/19/24,4245,4245,Public Records,251,,,,%,Ponte Vedra Bch,FL,St. Johns,US,32082,2,1,30.24619507,-81.38955855,1.20E+11,1700,1988,,,3,2,2,0,gAAAAABm9wKy7BfRR7n8rtd1NlKAVreiBuGzXDJFe5iabj4grkwcxRwOJgTG6FVsDlD_ECWZJb--bkNbkqIhhl4n4gvPf4YBnA==,,,,Vacant,Excl Right to Lease,,Full Service,12 Months,,,1,,2.5,7/15/24,,Association_Name_Index_1815,Y,N,Y,U,,,N,N,,N,,Y,,0,1,Y,End Unit,,,11,Florida Room:|||||;Utility Room:|||||;,"Additional Lease Terms|12 Months|Yes;Architectural Style|Contemporary|Yes;Association Fee Includes|Pest Control|Yes;Association Fee Includes|Water|Yes;Association Fee Includes|Trash|Yes;Association Fee Includes|Sewer|Yes;Deposits and Fees|Security Deposit|4,245;Deposits and Fees|Application Fee|65;Interior Features|Breakfast Bar|Yes;Interior Features|Split Bedrooms|Yes;Interior Features|Primary Bathroom - Shower No Tub|Yes;Interior Features|Walk-In Closet(s)|Yes;Interior Features|Pantry|Yes;Interior Features|Entrance Foyer|Yes;Interior Features|Ceiling Fan(s)|Yes;Laundry Features|In Unit|Yes;Owner Pays|Sewer|Yes;Owner Pays|Water|Yes;Patio And Porch Features|Glass Enclosed|Yes;Patio And Porch Features|Screened|Yes;Pets Allowed|Breed Restrictions|Yes;Pets Allowed|Yes|Yes;Pets Allowed|Size Limit|Yes;Pets Allowed|Dogs OK|Yes;Rent Includes|Management|Yes;Rent Includes|Water|Yes;Rent Includes|Trash Collection|Yes;Rent Includes|Sewer|Yes;Road Surface Type|Asphalt|Yes;Room Types|Utility Room|Yes;Room Types|Florida Room|Yes;Special Listing Conditions|Smoking Prohibited|Yes;Tenant Pays|Cable TV|Yes;Tenant Pays|Telephone|Yes;Tenant Pays|Electricity|Yes;View|Golf Course|Yes;Rental Commission Term|1 Months Rent|Yes;Water Source|Public|Yes;Cooling|Central Air|Yes;Cooling|Zoned|Yes;Heating|Central|Yes;Heating|Zoned|Yes;Pool Features|None|Yes;Utilities|Cable Available|Yes;Utilities|Water Available|Yes;Utilities|Sewer Available|Yes;Utilities|Other|Yes;Utilities|Electricity Available|Yes;Showing Requirements|Call Listing Agent|Yes;Showing Requirements|Showing Contact Phone|904-635-6375;Parking Features|Additional Parking|Yes;Parking Features|Unassigned|Yes;Parking Features|Other|Yes;Parking Features|Guest|Yes;Parking Features|Garage Door Opener|Yes;Parking Features|Garage|Yes;Appliances|Dryer|Yes;Appliances|Washer|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Ice Maker|Yes;Appliances|Electric Water Heater|Yes;Appliances|Electric Range|Yes;Appliances|Electric Oven|Yes;Appliances|Dishwasher|Yes;Appliances|Disposal|Yes;"
gAAAAABm9wKyfdSvE58p4_cjKr8rCeKOK7aROuchLL9p29Jx5_1xRzRObB3jt4bwh1q4nOnI3n0pRelo6_5opK9DfeevMCMdyA==,Agency_Phone_Index_662,Listing_Agent_Index_980,,Rental,Residential Lease,Ranch,RA,6/29/24,,A,7/14/24,800,800,Public Records,575,,,,$,Hawthorne,FL,Putnam,US,32640,1,,29.59640058,-82.02461221,1.21E+11,504,1975,,,2,2,2,0,gAAAAABm9wKyvqEL6YGbgt8U7bns3WnXYocyV-vCqnFsdzN8a-m190FyUOuRic4pDDf5DahlBYP7eaX2s3inDCotn0Oe56vBS56asympcjTv4Kpbq4m3jqs=,,10/11/24 22:56,,Vacant,Excl Right to Lease,,Full Service,12 Months,,,,,1.59,6/23/24,,,N,N,,,0.2,,N,N,,,N,N,,50,,N,,N,,9,,Additional Lease Terms|Month To Month|Yes;Additional Lease Terms|Negotiable|Yes;Additional Lease Terms|12 Months|Yes;Rental Commission Term|Specific $ Amount|50;Water Source|Well|Yes;Cooling|Wall/Window Unit(s)|Yes;Heating|Electric|Yes;Pool Features|None|Yes;Utilities|Water Connected|Yes;Showing Requirements|Call Listing Office|Yes;Parking Features|Other|Yes;Appliances|Electric Oven|Yes;
gAAAAABm9wKyPcWtduVoEXOZ5M5vr1Yn80hjl7PyVBwysXWkK2bAf2MupRV6i5InXeq1DMyPjXFPVry-Td7cwNZrXAyp-2MC2g==,Agency_Phone_Index_663,Listing_Agent_Index_981,,Rental,Residential Lease,Single Family Residence,SF,7/26/24,,A,7/23/24,2400,2400,Assessor,43,,,,%,Jacksonville,FL,Duval,US,32225,1,1,30.33884509,-81.48257272,1.20E+11,1586,2002,,,3,2,2,0,gAAAAABm9wKy4u-4XoEnp_3xK6qFY9DeP_xGxYO5oDQ6NLcwN6-t0QqinjPQ8lyLcQNvWtFWG7TP0U6sw7o6s7gB02JckwDVlA==,,10/7/24 10:57,,Tenant,Exclusive Agency,,Full Service,12 Months,,,2,,1.51,7/21/24,,,N,N,,U,,,N,N,,Y,O,Y,,10,1,N,,N,,22,Great Room:|||||;,"Accessory Dwelling Information|ADU Attached Y/N|No;Additional Lease Terms|12 Months|Yes;Architectural Style|Contemporary|Yes;Deposits and Fees|Security Deposit|2,600;Deposits and Fees|Pet Fee/Deposit|150;Deposits and Fees|Application Fee|75;Fencing|Back Yard|Yes;Fencing|Fenced|Yes;Fencing|Wood|Yes;Fencing|Other|Yes;Historical Information|Public Historical Remarks 1|Pet Rent:  Y, Restrictions-Pets-No Cats:  Y, Water - Public:  Y, Assoc Appl Fee:  N, Tenant Pays All Utilities:  Y, lot Location-Cul-de-sac:  Y, Roof:  Shingle, Thermal Window(s):  Y, Wall-to-Wall Carpet:  Y, Vinyl Floors:  Y, Per Period:  2400, Dining-Kitchen/Family Combo:  Y, Interior Amenities-Window Treatment(s):  Y;Historical Information|Public Historical Remarks 2|Occupancy:  Negotiable, Min Rental Term-Transfer Clause-Military:  Y, Rented Info:  12 month lease, Sewer - Public:  Y, Lot Location-Corner Lot:  Y, Parcel Size:  Less than .25 acre, Structure-Frame:  Y, Exterior Wall:  Brick, Tile Floors:  Y, Laminate Floors:  Y, Utilities-Underground:  Y, Energy Features-Ceiling Fan(s):  Y, Dining-Living/Dining Combo:  Y, Interior Amenities-Ceiling 8+ Ft.:  Y;Historical Information|Public Historical Remarks 3|Date Available: May 12, 2022;Historical Information|Private Historical Remarks|Region:  04-ARLINGTON/FT CAROLINE, Agency Disclosure:  Single Agent;Interior Features|Breakfast Bar|Yes;Interior Features|Split Bedrooms|Yes;Interior Features|Primary Bathroom - Shower No Tub|Yes;Interior Features|Skylight(s)|Yes;Interior Features|Walk-In Closet(s)|Yes;Interior Features|Vaulted Ceiling(s)|Yes;Interior Features|Pantry|Yes;Interior Features|Entrance Foyer|Yes;Levels|One|Yes;Owner Pays|Association Fees|Yes;Patio And Porch Features|Covered|Yes;Patio And Porch Features|Front Porch|Yes;Pets Allowed|Breed Restrictions|Yes;Pets Allowed|Yes|Yes;Pets Allowed|Size Limit|Yes;Pets Allowed|Number Limit|Yes;Rent Includes|Management|Yes;Rent Includes|Trash Collection|Yes;Road Frontage Type|City Street|Yes;Road Surface Type|Asphalt|Yes;Room Types|Great Room|Yes;Security Features|Smoke Detector(s)|Yes;Showing Considerations|Occupied|Yes;Special Listing Conditions|Third Party Approval|Yes;Special Listing Conditions|Smoking Prohibited|Yes;Tenant Pays|All Utilities|Yes;Rental Commission Term|Specific $ Amount|240;Water Source|Public|Yes;Cooling|Electric|Yes;Heating|Central|Yes;Heating|Heat Pump|Yes;Heating|Electric|Yes;Pool Features|None|Yes;Utilities|Sewer Available|Yes;Utilities|Water Connected|Yes;Utilities|Water Available|Yes;Utilities|Sewer Connected|Yes;Showing Requirements|24 Hour Notice|Yes;Showing Requirements|Showing Service|Yes;Showing Requirements|Appointment Only|Yes;Parking Features|Attached|Yes;Parking Features|Garage Door Opener|Yes;Parking Features|Garage|Yes;Appliances|Dishwasher|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Electric Range|Yes;"
gAAAAABm9wKyhUIXEwyFhhLvpTj0X_0B7qvS_yNAKBOgp6VGVd1UqahS8ONdrSqUG90ntHGYRJhon05pGJGbIAz6--_Bs1tkfA==,,Listing_Agent_Index_982,,Rental,Residential Lease,Condominium,CN,7/20/24,,A,7/31/24,4800,4800,Public Records,261,,,,$,Ponte Vedra Bch,FL,St. Johns,US,32082,2,,30.21749485,-81.39964528,1.21E+11,1440,1985,,,3,2,2,0,gAAAAABm9wKyJfZXB7qnsK_BuPzHq6M1LDpcFtV5n3hyCDfXplj4ac3pvGA16nRUyWUa0RAcUNWkSGUtnrYCuiHrUcKKTmjsLw==,,,,,Excl Right to Lease,,Full Service,Negotiable,,,,,3.33,8/4/24,,,Y,N,Y,F,0,,N,N,,,,N,,0,,N,,,,23,,Additional Lease Terms|Month To Month|Yes;Additional Lease Terms|Negotiable|Yes;Additional Lease Terms|12 Months|Yes;Association Fee Includes|Internet|Yes;Association Fee Includes|Water|Yes;Association Fee Includes|Sewer|Yes;Association Fee Includes|Maintenance Grounds|Yes;Deposits and Fees|Security Deposit|1;Deposits and Fees|Pet Fee/Deposit|300;Deposits and Fees|Application Fee|50;Interior Features|Breakfast Bar|Yes;Interior Features|Walk-In Closet(s)|Yes;Interior Features|Open Floorplan|Yes;Interior Features|His and Hers Closets|Yes;Interior Features|Entrance Foyer|Yes;Interior Features|Ceiling Fan(s)|Yes;Levels|Two|Yes;Owner Pays|Association Fees|Yes;Owner Pays|Water|Yes;Owner Pays|Trash Collection|Yes;Owner Pays|Sewer|Yes;Owner Pays|Repairs|Yes;Owner Pays|Pool Maintenance|Yes;Owner Pays|Pest Control|Yes;Owner Pays|Insurance|Yes;Owner Pays|Hot Water|Yes;Owner Pays|HVAC Maintenance|Yes;Owner Pays|Grounds Care|Yes;Patio And Porch Features|Front Porch|Yes;Patio And Porch Features|Screened|Yes;Patio And Porch Features|Rear Porch|Yes;Pets Allowed|Breed Restrictions|Yes;Pets Allowed|Dogs OK|Yes;Pets Allowed|Cats OK|Yes;Rent Includes|Internet|Yes;Rent Includes|Water|Yes;Rent Includes|Sewer|Yes;Road Surface Type|Asphalt|Yes;Smart Home Features|Irrigation|Yes;Smart Home Features|Smoke Detector|Yes;Tenant Pays|Electricity|Yes;View|Protected Preserve|Yes;Rental Commission Term|1 Months Rent|Yes;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|Community|Yes;Pool Features|In Ground|Yes;Pool Features|Fenced|Yes;Utilities|Cable Connected|Yes;Utilities|Water Connected|Yes;Utilities|Sewer Connected|Yes;Utilities|Electricity Connected|Yes;Showing Requirements|Appointment Only|Yes;Showing Requirements|Showing Service|Yes;Showing Requirements|Showing Contact Phone|904-994-7740;Showing Requirements|Call Listing Agent|Yes;Parking Features|Assigned|Yes;Parking Features|Guest|Yes;Appliances|Dryer|Yes;Appliances|Washer|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Ice Maker|Yes;Appliances|Freezer|Yes;Appliances|Electric Water Heater|Yes;Appliances|Electric Oven|Yes;Appliances|Electric Cooktop|Yes;Appliances|Dishwasher|Yes;Appliances|Disposal|Yes;
gAAAAABm9wKyUIBXZBCoQfvfhPyTUQPacxQVXfq2nmD9jm5k8_z5NAJ_N1qCpOIxPPbK4jp5sCzbi6R6PhamzmIHgTJqojMwoQ==,Agency_Phone_Index_664,Listing_Agent_Index_983,Listing_Agent_Index_1151,Rental,Residential Lease,Apartment,AP,7/15/24,,A,7/31/24,1295,1295,Measured,72,,N,,%,Jacksonville,FL,Duval,US,32206,2,2,30.33957036,-81.64908136,1.20E+11,580,2005,,,1,1,1,0,gAAAAABm9wKy7IXX4naF1lHhSnIrC0gE7suR7-6SGpfRUbAgPTyiMA_B7HbfRUUUpy3OaD5FNtFV_toRDmDzBzYpNp7RJimDGQ==,,,,,Exclusive Agency,,Full Service,Negotiable,,,,,2.23,7/21/24,,,N,N,,U,,,N,N,,,N,N,,0,1,N,,,,15,,"Additional Fee Includes|Attorney Fee|Yes;Additional Lease Terms|7 Months|Yes;Additional Lease Terms|12 Months|Yes;Architectural Style|Traditional|Yes;Association Amenities|Laundry|Yes;Deposits and Fees|Security Deposit|900;Deposits and Fees|Application Fee|75;Historical Information|Public Historical Remarks 1|Lot Location-Historic:  Y, Water - Public:  Y, Assoc Appl Fee:  N, Roof:  Shingle, Wall-to-Wall Carpet:  Y, LeasePrepFeeTenant:  75, Bedroom Features-Apartment:  Y, Dining-Kitchen/Family Combo:  Y;Historical Information|Public Historical Remarks 3|Unit Type: Traditional, 2nd Story, Occupant Type: Special Instructions, See ShowingAssist, Appointment;Historical Information|Public Historical Remarks 2|Occupancy:  Specific Date-CLO, Sewer - Public:  Y, Cleaning Fee:  125, Interior Amenities-Ceiling 8+ Ft.:  Y, Kitchen-Solid Surface Countertops:  Y, City Lot Location:  Y;Historical Information|Private Historical Remarks|Region:  07-SPRINGFIELD/DOWNTOWN/PAXON/TROUT RIVER SOUTH, Agency Disclosure:  Transaction Broker;Owner Pays|Electricity|Yes;Owner Pays|Water|Yes;Rent Includes|Electricity|Yes;Rent Includes|Water|Yes;Rent Includes|Sewer|Yes;Road Surface Type|Asphalt|Yes;Sewer|Public Sewer|Yes;Special Listing Conditions|Smoking Prohibited|Yes;Rental Commission Term|1 Months Rent|Yes;Water Source|Public|Yes;Cooling|Central Air|Yes;Heating|Central|Yes;Pool Features|None|Yes;Utilities|Electricity Available|Yes;Utilities|Water Available|Yes;Showing Requirements|Appointment Only|Yes;Showing Requirements|Showing Service|Yes;Parking Features|Assigned|Yes;Appliances|Dryer|Yes;Appliances|Washer|Yes;Appliances|Refrigerator|Yes;Appliances|Microwave|Yes;Appliances|Electric Range|Yes;"
